Carat,Cut,Color,Clarity,Depth,Table,x,y,z,coordinates
0.71,Good,I,VVS2,63.1,58,5.64,5.71,3.58,"35.02636, -114.38351"
0.83,Ideal,G,VS1,62.1,55,6.02,6.05,3.75,"35.00350, -109.78961"
0.5,Ideal,E,VS2,61.5,55,5.11,5.16,3.16,"35.10544, -106.669673"
0.39,Premium,J,VS1,61.6,59,4.67,4.71,2.89,"34.94666, -104.64730"
0.32,Premium,G,VS1,62.1,56,4.43,4.4,2.74,"35.18864, -101.98602"
0.9,Good,F,SI2,63.3,57,6.08,6.14,3.87,"35.26611, -99.63874"
0.51,Ideal,D,VS1,60.9,57,5.2,5.17,3.16,"35.51572, -97.67080"
1.12,Ideal,G,VVS2,62.1,54.8,6.64,6.66,4.13,"36.163605, -95.75950"
0.4,Ideal,G,VVS2,62.4,56,4.72,4.74,2.95,"37.689186, -92.6473"
0.36,Premium,I,VS2,62.7,59,4.54,4.58,2.86,"38.66303, -90.21808"
